Name,Class,Role,Tier,Trend,Win %,Role %,Pick %,Ban %,KDA
Karthus,Mage,JUNGLE,C,8.25,48.40%,52.62%,1.64%,Blue (0.54%)/Red (1.13%),2.53
Kassadin,Assassin,MID,S+,26.27,52.30%,97.44%,7.72%,Blue (12.41%)/Red (23.87%),2.71
Katarina,Assassin,MID,S,2.85,48.73%,95.50%,7.44%,Blue (0.89%)/Red (7.23%),2.34
Kayle,Fighter,TOP,B,1.4,50.92%,79.82%,2.13%,Blue (0.38%)/Red (0.08%),1.82
Kayle,Fighter,MID,C,-6.88,50.45%,16.68%,0.38%,Blue (0.22%)/Red (0.24%),2.19
Kayn,Fighter,JUNGLE,A,-22.06,48.23%,97.18%,6.68%,Blue (3.9%)/Red (1.56%),2.39
Kennen,Mage,MID,C,-6.98,49.76%,16.06%,0.25%,Blue (0.13%)/Red (0.19%),2.35
Kennen,Mage,TOP,C,2.31,48.01%,78.94%,1.18%,Blue (0.26%)/Red (0.06%),1.93
Kha'Zix,Assassin,JUNGLE,A,-5.19,49.88%,98.25%,4.78%,Blue (1.15%)/Red (0.79%),2.58
Kindred,Marksman,JUNGLE,A,-7.19,49.40%,96.33%,6.20%,Blue (6.94%)/Red (1.89%),2.26
Kled,Fighter,TOP,A,4.63,52.03%,86.05%,2.30%,Blue (0.47%)/Red (0.48%),2.39
Kled,Fighter,MID,B,-4.27,53.93%,11.75%,0.29%,Blue (0.91%)/Red (0.04%),2.65
Kog'Maw,Marksman,ADC,C,0.6,52.42%,86.94%,1.83%,Blue (0.11%)/Red (0.3%),2.23
LeBlanc,Assassin,MID,B,-4.58,46.47%,91.29%,2.90%,Blue (0.71%)/Red (3.33%),2.75
Lee Sin,Fighter,JUNGLE,S,-7.81,47.13%,92.08%,9.54%,Blue (2.51%)/Red (1.56%),2.66
Leona,Tank,SUPPORT,A,-3.22,50.11%,98.81%,4.97%,Blue (3.35%)/Red (0.83%),2.38
Lillia,Fighter,JUNGLE,B,-16.96,49.72%,85.84%,2.54%,Blue (0.91%)/Red (0.61%),2.79
Lillia,Fighter,TOP,D,-9.48,46.17%,11.32%,0.37%,Blue (1.23%)/Red (0.33%),1.89
Lissandra,Mage,MID,A,6.18,50.81%,93.66%,3.53%,Blue (0.37%)/Red (0.52%),2.52
Lucian,Marksman,ADC,A,-0.73,49.61%,93.22%,10.96%,Blue (3.36%)/Red (2.09%),2.29
Lulu,Support,SUPPORT,S+,1.34,49.89%,97.61%,9.58%,Blue (4.01%)/Red (5.95%),3.06
Lux,Mage,SUPPORT,S+,0.79,51.19%,70.69%,13.65%,Blue (1.0%)/Red (9.76%),2.56
Lux,Mage,MID,S,4.64,51.54%,26.49%,5.12%,Blue (1.44%)/Red (9.32%),3.03
Malphite,Tank,TOP,A,1.78,49.54%,67.52%,3.36%,Blue (0.21%)/Red (2.37%),2.4
Malphite,Tank,MID,B,-3.18,51.67%,14.58%,0.72%,Blue (0.91%)/Red (1.67%),2.53
Malphite,Tank,SUPPORT,D,3.6,48.29%,14.12%,0.81%,Blue (1.35%)/Red (1.3%),1.96
Malzahar,Mage,MID,A,-0.67,51.52%,90.90%,3.69%,Blue (1.45%)/Red (2.24%),2.35
Maokai,Tank,JUNGLE,S+,50.0,54.31%,75.40%,9.84%,Blue (0.97%)/Red (26.53%),3.02
Maokai,Tank,SUPPORT,A,0.76,51.42%,20.67%,2.63%,Blue (17.55%)/Red (9.95%),2.27
Master Yi,Assassin,JUNGLE,S,-22.57,50.35%,93.30%,7.11%,Blue (12.41%)/Red (5.89%),2.13
Miss Fortune,Marksman,ADC,A,-9.29,50.44%,87.90%,8.52%,Blue (0.34%)/Red (1.76%),2.26
Miss Fortune,Marksman,SUPPORT,D,0.0,45.98%,10.21%,0.89%,Blue (1.12%)/Red (0.98%),2.08
Mordekaiser,Fighter,TOP,S,-20.57,50.23%,70.18%,6.82%,Blue (12.29%)/Red (2.54%),1.88
Mordekaiser,Fighter,JUNGLE,B,-21.28,49.90%,23.47%,2.30%,Blue (11.43%)/Red (3.4%),2.39
Morgana,Mage,SUPPORT,S+,-8.61,50.06%,89.94%,7.26%,Blue (25.43%)/Red (0.24%),2.52
Nami,Support,SUPPORT,S+,5.24,51.61%,99.70%,13.02%,Blue (0.5%)/Red (6.39%),3.29
Nasus,Fighter,TOP,A,-6.42,51.14%,78.72%,4.60%,Blue (2.49%)/Red (1.7%),1.99
Nasus,Fighter,MID,B,-3.06,53.66%,14.69%,0.52%,Blue (3.6%)/Red (0.59%),2.39
Nautilus,Tank,SUPPORT,S,4.52,50.09%,98.21%,7.83%,Blue (6.33%)/Red (1.29%),2.31
Neeko,Mage,MID,B,-1.84,51.21%,57.37%,1.42%,Blue (0.32%)/Red (0.09%),2.36
Neeko,Mage,TOP,B,4.63,51.82%,12.01%,0.21%,Blue (0.29%)/Red (0.12%),2.03
Neeko,Mage,SUPPORT,D,-3.16,50.31%,25.02%,0.61%,Blue (0.27%)/Red (0.16%),2.06
Nidalee,Assassin,JUNGLE,B,9.47,47.46%,88.62%,3.33%,Blue (1.07%)/Red (0.21%),2.87
Nilah,Marksman,ADC,C,-10.72,52.81%,96.35%,2.64%,Blue (2.16%)/Red (2.83%),2.23
Nocturne,Assassin,JUNGLE,A,-3.38,50.80%,92.64%,3.47%,Blue (1.76%)/Red (0.29%),2.6
Nunu,Tank,JUNGLE,A,7.73,49.34%,91.22%,4.40%,Blue (0.0%)/Red (1.3%),2.8
