Name,Class,Role,Tier,Trend,Win %,Role %,Pick %,Ban %,KDA
Hecarim,Fighter,JUNGLE,S,12.91,51.18%,99.23%,8.94%,Blue (3.83%)/Red (4.21%),3.02
Heimerdinger,Mage,MID,C,-1.34,49.28%,35.85%,0.80%,Blue (0.75%)/Red (0.06%),1.96
Heimerdinger,Mage,ADC,C,-1.93,51.76%,15.56%,0.29%,Blue (0.63%)/Red (0.18%),2.23
Heimerdinger,Mage,SUPPORT,C,-1.74,49.85%,10.09%,0.20%,Blue (0.48%)/Red (0.44%),1.83
Heimerdinger,Mage,TOP,D,-8.38,48.87%,38.86%,0.80%,Blue (0.14%)/Red (0.67%),1.65
Illaoi,Fighter,TOP,C,-3.45,49.16%,92.36%,2.07%,Blue (0.35%)/Red (2.18%),1.49
Irelia,Fighter,TOP,S+,-5.02,49.10%,60.00%,6.24%,Blue (4.87%)/Red (18.64%),1.58
Irelia,Fighter,MID,A,-1.08,48.24%,39.17%,4.10%,Blue (21.67%)/Red (1.84%),1.75
Ivern,Support,JUNGLE,C,1.46,48.09%,85.02%,1.21%,Blue (0.28%)/Red (0.06%),3.41
Janna,Support,SUPPORT,A,-3.82,50.56%,95.20%,4.60%,Blue (0.2%)/Red (0.37%),3.0
Jarvan IV,Tank,JUNGLE,A,4.21,51.04%,93.41%,4.22%,Blue (0.5%)/Red (0.04%),3.37
Jax,Fighter,TOP,S+,3.63,50.68%,85.79%,6.84%,Blue (7.08%)/Red (3.9%),1.63
Jax,Fighter,JUNGLE,C,-5.49,49.40%,13.26%,1.11%,Blue (6.41%)/Red (3.98%),2.13
Jayce,Fighter,TOP,S,-5.02,49.44%,74.77%,6.54%,Blue (1.04%)/Red (3.09%),1.78
Jayce,Fighter,MID,B,-2.3,48.62%,24.13%,1.97%,Blue (0.42%)/Red (3.71%),2.05
Jhin,Marksman,ADC,S+,3.23,51.03%,99.02%,24.55%,Blue (4.61%)/Red (1.2%),3.01
Jinx,Marksman,ADC,S+,-1.22,51.32%,99.51%,22.27%,Blue (2.55%)/Red (4.43%),2.43
Kai'Sa,Marksman,ADC,S+,10.5,49.48%,97.77%,19.45%,Blue (1.35%)/Red (4.6%),2.42
Kalista,Marksman,ADC,D,-0.06,49.03%,91.41%,1.53%,Blue (0.22%)/Red (0.05%),2.3
Karma,Mage,SUPPORT,S,6.96,48.91%,92.05%,10.22%,Blue (2.43%)/Red (0.53%),2.73
Karthus,Mage,ADC,B,-1.65,54.98%,21.05%,0.95%,Blue (1.56%)/Red (1.74%),2.23
Karthus,Mage,MID,B,3.77,52.58%,11.76%,0.41%,Blue (0.34%)/Red (2.96%),2.19
Karthus,Mage,JUNGLE,B,0.6,49.39%,57.80%,2.09%,Blue (0.0%)/Red (3.3%),2.45
Kassadin,Assassin,MID,A,-7.74,51.42%,97.04%,4.54%,Blue (9.61%)/Red (4.82%),2.49
Katarina,Assassin,MID,S,-0.88,49.59%,94.72%,7.12%,Blue (6.78%)/Red (3.11%),2.29
Kayle,Fighter,TOP,A,-5.26,50.71%,72.51%,3.11%,Blue (0.14%)/Red (1.05%),1.8
Kayle,Fighter,MID,B,-8.21,50.63%,25.67%,0.97%,Blue (1.02%)/Red (0.17%),2.28
Kayn,Fighter,JUNGLE,S,1.38,49.95%,97.80%,9.70%,Blue (11.37%)/Red (0.81%),2.41
Kennen,Mage,MID,B,-1.04,51.35%,15.00%,0.34%,Blue (0.53%)/Red (0.14%),2.37
Kennen,Mage,TOP,C,0.47,48.62%,83.50%,2.00%,Blue (0.14%)/Red (0.56%),1.98
Kha'Zix,Assassin,JUNGLE,S,-2.33,50.17%,98.88%,7.47%,Blue (5.83%)/Red (1.18%),2.47
Kindred,Marksman,JUNGLE,B,-1.77,50.47%,91.82%,3.87%,Blue (0.84%)/Red (1.65%),2.26
Kled,Fighter,MID,A,0.0,55.14%,10.23%,0.19%,Blue (0.82%)/Red (0.01%),2.7
Kled,Fighter,TOP,B,-4.86,50.36%,88.47%,1.69%,Blue (0.09%)/Red (0.69%),2.32
Kog'Maw,Marksman,ADC,B,-2.8,52.79%,89.17%,1.98%,Blue (0.14%)/Red (0.3%),2.21
LeBlanc,Assassin,MID,A,-1.18,48.85%,94.88%,5.79%,Blue (11.08%)/Red (0.87%),2.82
Lee Sin,Fighter,JUNGLE,S+,0.28,48.45%,96.61%,15.29%,Blue (7.45%)/Red (8.81%),2.82
Leona,Tank,SUPPORT,S,-0.99,49.61%,99.42%,9.88%,Blue (8.53%)/Red (5.44%),2.34
Lillia,Fighter,JUNGLE,B,-1.69,49.35%,85.39%,2.74%,Blue (0.3%)/Red (0.65%),2.66
Lillia,,TOP,D,-9.25,49.20%,11.49%,0.40%,Blue (0.46%)/Red (0.55%),1.96
Lissandra,Mage,MID,A,1.22,50.65%,91.16%,2.72%,Blue (0.52%)/Red (0.14%),2.41
Lucian,Marksman,ADC,A,-7.7,49.26%,86.34%,8.84%,Blue (2.72%)/Red (0.4%),2.25
Lulu,Support,SUPPORT,S+,0.75,50.84%,97.72%,14.30%,Blue (18.27%)/Red (7.41%),3.12
Lux,Mage,SUPPORT,S+,-6.67,50.26%,68.48%,14.64%,Blue (0.63%)/Red (11.63%),2.53
Lux,Mage,MID,S,-0.9,51.08%,29.30%,6.48%,Blue (2.9%)/Red (9.36%),2.97
Malphite,Tank,TOP,S,5.41,51.19%,75.04%,4.68%,Blue (1.29%)/Red (2.72%),2.41
Malphite,Tank,MID,B,-3.72,50.49%,11.99%,0.71%,Blue (1.35%)/Red (2.66%),2.4
Malphite,Tank,SUPPORT,D,-1.81,46.13%,11.03%,0.78%,Blue (1.28%)/Red (2.84%),2.05
Malzahar,Mage,MID,A,5.18,50.92%,91.35%,3.43%,Blue (1.34%)/Red (1.69%),2.22
Maokai,Tank,SUPPORT,B,-0.65,50.16%,80.13%,1.46%,Blue (0.03%)/Red (0.13%),2.23
Maokai,Tank,TOP,D,-6.31,49.13%,17.24%,0.32%,Blue (0.16%)/Red (0.01%),2.1
Master Yi,Assassin,JUNGLE,S,-3.49,49.74%,93.04%,7.64%,Blue (2.57%)/Red (16.39%),2.02
Miss Fortune,Marksman,ADC,A,-1.8,50.10%,95.35%,8.87%,Blue (0.08%)/Red (2.04%),2.3
Mordekaiser,Fighter,TOP,S,14.48,49.82%,87.43%,5.31%,Blue (1.73%)/Red (4.26%),1.79
Morgana,Mage,SUPPORT,S,-1.92,49.76%,92.49%,9.13%,Blue (3.76%)/Red (23.19%),2.51
Nami,Support,SUPPORT,S,-2.3,51.52%,99.76%,11.30%,Blue (2.23%)/Red (0.37%),3.24
Nasus,Fighter,TOP,S,7.18,51.83%,85.10%,4.49%,Blue (3.36%)/Red (1.0%),1.98
Nautilus,Tank,SUPPORT,S,2.25,49.81%,98.25%,8.69%,Blue (4.68%)/Red (3.09%),2.32
Neeko,Mage,MID,C,0.46,48.66%,62.30%,1.30%,Blue (0.11%)/Red (0.17%),2.22
Neeko,Mage,SUPPORT,D,2.13,47.99%,23.38%,0.50%,Blue (0.22%)/Red (0.08%),1.95
Nidalee,Assassin,JUNGLE,A,-0.37,48.98%,92.41%,4.41%,Blue (0.65%)/Red (1.99%),2.95
Nocturne,Assassin,JUNGLE,B,-6.54,48.05%,86.82%,3.12%,Blue (1.31%)/Red (1.93%),2.39
Nunu,Tank,JUNGLE,A,0.61,51.79%,89.52%,4.35%,Blue (0.58%)/Red (1.8%),3.04
Olaf,Fighter,JUNGLE,C,5.55,49.07%,84.79%,1.48%,Blue (0.71%)/Red (0.14%),2.45
Olaf,Fighter,TOP,D,-6.16,45.46%,15.64%,0.27%,Blue (0.75%)/Red (0.17%),1.63
Orianna,Mage,MID,A,1.97,49.56%,95.43%,2.89%,Blue (0.03%)/Red (0.15%),2.66
Ornn,Tank,TOP,A,4.58,50.83%,94.19%,4.04%,Blue (0.38%)/Red (0.05%),2.3
Pantheon,Fighter,MID,B,-2.49,50.80%,27.31%,1.16%,Blue (0.05%)/Red (0.84%),2.25
Pantheon,Fighter,SUPPORT,D,-2.48,47.00%,39.76%,1.78%,Blue (0.18%)/Red (0.71%),1.89
Pantheon,Fighter,TOP,D,-10.85,49.68%,26.73%,0.93%,Blue (0.72%)/Red (0.17%),2.1
Poppy,Tank,JUNGLE,B,-2.14,49.59%,47.97%,2.30%,Blue (0.94%)/Red (1.36%),2.65
Poppy,Tank,TOP,B,-5.73,49.78%,43.37%,1.98%,Blue (0.23%)/Red (2.07%),2.14
Pyke,Support,SUPPORT,S,-0.91,49.35%,88.30%,8.57%,Blue (0.67%)/Red (12.1%),2.17
Qiyana,Assassin,MID,A,2.17,51.04%,58.68%,4.73%,Blue (1.83%)/Red (11.86%),2.14
Qiyana,Assassin,JUNGLE,B,-0.24,48.92%,37.84%,2.94%,Blue (8.7%)/Red (4.99%),2.42
Quinn,Marksman,TOP,C,-5.78,51.71%,83.36%,1.19%,Blue (0.42%)/Red (0.09%),1.89
Rakan,Support,SUPPORT,A,-1.22,50.52%,98.47%,5.55%,Blue (0.13%)/Red (0.28%),2.94
